Name of Tools/ Softwares/DBs/Algorithms	Category	Subcategory	Deep learning/ML	Abstract	Manuscript Title	Link to Publication	Journal Name	Full APA Style Reference	Full Author List	Senior Author	Country of Affiliation of the Senior Author of the Manuscript	Link to the Tool	Programming Language used to prepare the tool, primary software tool	Year of publication	Institutional Affiliations
MultiABLER	Pre-processing			"Mass spectrometry (MS)-based untargeted metabolomic and lipidomic approaches are being used increasingly in biomedical research. The adoption and integration of these data are critical to the overall multi-omic toolkit. Recently, a sample extraction method called Multi-ABLE has been developed, which enables concurrent generation of proteomic and untargeted metabolomic and lipidomic data from a small amount of tissue. The proteomics field has a well-established set of software for processing of acquired data; however, there is a lack of a unified, off-the-shelf, ready-to-use bioinformatics pipeline that can take advantage of and prepare concurrently generated metabolomic and lipidomic data for joint downstream analyses. Here we present an R pipeline called MultiABLER as a unified and simple upstream processing and analysis pipeline for both metabolomics and lipidomics datasets acquired using liquid chromatography-tandem mass spectrometry. The code is available via an open-source license at https://github.com/holab-hku/MultiABLER."	Integrative processing of untargeted metabolomic and lipidomic data using MultiABLER	https://doi.org/10.1016/j.isci.2023.106881	Iscience	Lee, I. C., Tumanov, S., Wong, J. W., Stocker, R., & Ho, J. W. (2023). Integrative processing of untargeted metabolomic and lipidomic data using MultiABLER. Iscience, 26(6).	I. C. Lee, S. Tumanov, J. W. Wong, R. Stocker, J. W. Ho	J W Ho	China	https://github.com/holab-hku/MultiABLER	HTML, R	2023	Hong Kong Science and Technology Parks Corporation
MariClus	Biosynthetic Gene Clusters			Background: The marine environment hosts the vast majority of living species and marine microbes that produce natural products with great potential in providing lead compounds for drug development. With over 70% of Earth’s surface covered in water and the high interaction rate associated with liquid environments, this has resulted in many marine natural product discoveries. Our improved understanding of the biosynthesis of these molecules, encoded by gene clusters, along with increased genomic information will aid us in uncovering even more novel compounds. Results: We introduce MariClus (https://www.mariclus.com), an online user-friendly platform for mining and visualizing marine gene clusters. The first version contains information on clusters and the predicted molecules for over 500 marine-related prokaryotes. The user-friendly interface allows scientists to easily search by species, cluster type or molecule and visualize the information in table format or graphical representation. Conclusions: This new online portal simplifies the exploration and comparison of gene clusters in marine species for scientists and assists in characterizing the bioactive molecules they produce. MariClus integrates data from public sources, like GenBank, MIBiG and PubChem, with genome mining results from antiSMASH. This allows users to access and analyze various aspects of marine natural product biosynthesis and diversity.	MariClus: Your One-Stop Platform for Information on Marine Natural Products, Their Gene Clusters and Producing Organisms	https://www.mdpi.com/1660-3397/21/8/449	Marine Drugs	Hermans, C., De Mol, M. L., Mispelaere, M., De Rop, A. S., Rombaut, J., Nusayr, T., ... & Hulpiau, P. (2023). MariClus: your one-stop platform for information on marine natural products, their gene clusters and producing organisms. Marine Drugs, 21(8), 449.	C. Hermans, M. L. De Mol, M. Mispelaere, A. S. De Rop, J. Rombaut, T. Nusayr, ..., P. Hulpiau	P Hulpiau	Belgium	https://www.mariclus.com	Webserver	2023	Howest University of Applied Sciences and Arts
BnIR	Multiomics			"In the post-genome-wide association study era, multi-omics techniques have shown great power and potential for candidate gene mining and functional genomics research. However, due to the lack of effective data integration and multi-omics analysis platforms, such techniques have not still been applied widely in rapeseed, an important oil crop worldwide. Here, we report a rapeseed multi-omics database (BnIR; http://yanglab.hzau.edu.cn/BnIR), which provides datasets of six omics including genomics, transcriptomics, variomics, epigenetics, phenomics, and metabolomics, as well as numerous “variation–gene expression–phenotype” associations by using multiple statistical methods. In addition, a series of multi-omics search and analysis tools are integrated to facilitate the browsing and application of these datasets. BnIR is the most comprehensive multi-omics database for rapeseed so far, and two case studies demonstrated its power to mine candidate genes associated with specific traits and analyze their potential regulatory mechanisms."	BnIR: an integrated multi_omics database for rapeseed research	https://www.cell.com/molecular-plant/S1674-2052(23)00071-0	Molecular Plant	Yang, Z., Wang, S., Wei, L., Huang, Y., Liu, D., Jia, Y., Luo, C., Lin, Y., Liang, C., Hu, Y., Dai, C., Guo, L., Zhou, Y., & Yang, Q.-Y. (2023). BnIR: a multi-omics database with various tools for Brassica napus research and breeding. Molecular Plant, 16(4), 775–789. https://doi.org/10.1016/j.molp.2023.03.007	Z. Yang, S. Wang, L. Wei, Y. Huang, D. Liu, Y. Jia, C. Luo, Y. Lin, C. Liang, Y. Hu, C. Dai, L. Guo, Y. Zhou, Q.-Y. Yang	Q Y Yang	China	http://yanglab.hzau.edu.cn/BnIR	Webserver	2023	Huazhong Agricultural University
IDSL.UFA	Annotation	Molecular formula prediction		Untargeted liquid chromatography/high-resolution mass spectrometry (LC/HRMS) assays in metabolomics and exposomics aim to characterize the small molecule chemical space in a biospecimen. To gain maximum biological insights from these data sets, LC/HRMS peaks should be annotated with chemical and functional information including molecular formula, structure, chemical class, and metabolic pathways. Among these, molecular formulas may be assigned to LC/HRMS peaks through matching theoretical and observed isotopic profiles (MS1) of the underlying ionized compound. For this, we have developed the Integrated Data Science Laboratory for Metabolomics and Exposomics–United Formula Annotation (IDSL.UFA) R package. In the untargeted metabolomics validation tests, IDSL.UFA assigned 54.31–85.51% molecular formula for true positive annotations as the top hit and 90.58–100% within the top five hits. Molecular formula annotations were also supported by tandem mass spectrometry data. We have implemented new strategies to (1) generate formula sources and their theoretical isotopic profiles, (2) optimize the formula hits ranking for the individual and aligned peak lists, and (3) scale IDSL.UFA-based workflows for studies with larger sample sizes. Annotating the raw data for a publicly available pregnancy metabolome study using IDSL.UFA highlighted hundreds of new pregnancy-related compounds and also suggested the presence of chlorinated perfluorotriether alcohols (Cl-PFTrEAs) in human specimens. IDSL.UFA is useful for human metabolomics and exposomics studies where we need to minimize the loss of biological insights in untargeted LC/HRMS data sets. The IDSL.UFA package is available in the R CRAN repository https://cran.r-project.org/package=IDSL.UFA. Detailed documentation and tutorials are also provided at www.ufa.idsl.me.	IDSL.UFA Assigns High-Confidence Molecular Formula Annotations for Untargeted LC/HRMS Data Sets in Metabolomics and Exposomics	https://pubs.acs.org/doi/10.1021/acs.analchem.2c00563	Analytical Chemistry	Baygi, S. F., Banerjee, S. K., Chakraborty, P., Kumar, Y., & Barupal, D. K. (2022). IDSL. UFA Assigns High-Confidence Molecular Formula Annotations for Untargeted LC/HRMS Data Sets in Metabolomics and Exposomics. Analytical chemistry, 94(39), 13315-13322.	S. F. Baygi, S. K. Banerjee, P. Chakraborty, Y. Kumar, D. K. Barupal	D K Barupal	USA	https://cran.r-project.org/package=IDSL.UFA	R	2022	Icahn School of Medicine at Mount Sinai
IDSL.IPA	Pre-processing			"Generating comprehensive and high-fidelity metabolomics data matrices from LC/HRMS data remains to be extremely challenging for population-scale large studies (n > 200). Here, we present a new data processing pipeline, the Intrinsic Peak Analysis (IDSL.IPA) R package (https://ipa.idsl.me), to generate such data matrices specifically for organic compounds. The IDSL.IPA pipeline incorporates (1) identifying potential 12C and 13C ion pairs in individual mass spectra; (2) detecting and characterizing chromatographic peaks using a new sensitive and versatile approach to perform mass correction, peak smoothing, baseline development for local noise measurement, and peak quality determination; (3) correcting retention time and cross-referencing peaks from multiple samples by a dynamic retention index marker approach; (4) annotating peaks using a reference database of m/z and retention time; and (5) accelerating data processing using a parallel computation of the peak detection and alignment steps for larger studies. This pipeline has been successfully evaluated for studies ranging from 200 to 1600 samples. By specifically isolating high quality and reliable signals pertaining to carbon-containing compounds in untargeted LC/HRMS data sets from larger studies, IDSL.IPA opens new opportunities for discovering new biological insights in the population-scale metabolomics and exposomics projects. The package is available in the R CRAN repository at https://cran.r-project.org/package=IDSL.IPA."	IDSL.IPA Characterizes the Organic Chemical Space in Untargeted LC/HRMS Data Sets	https://pubs.acs.org/doi/10.1021/acs.jproteome.2c00120	Journal of proteome research	Fakouri Baygi, S., Kumar, Y., & Barupal, D. K. (2022). IDSL. IPA characterizes the organic chemical space in untargeted LC/HRMS data sets. Journal of proteome research, 21(6), 1485-1494.	S. Fakouri Baygi, Y. Kumar, D. K. Barupal	D K Barupal	USA	https://cran.r-project.org/package=IDSL.IPA	R	2022	Icahn School of Medicine at Mount Sinai
CCDB	Database			"Inter-chemical correlations in metabolomics and exposomics datasets provide valuable information for studying relationships among chemicals reported for human specimens. With an increase in the number of compounds for these datasets, a network graph analysis and visualization of the correlation structure is difficult to interpret. We have developed the Chemical Correlation Database (CCDB), as a systematic catalogue of inter-chemical correlation in publicly available metabolomics and exposomics studies. The database has been provided via an online interface to create single compound-centric views. We have demonstrated various applications of the database to explore: 1) the chemicals from a chemical class such as Per- and Polyfluoroalkyl Substances (PFAS), polycyclic aromatic hydrocarbons (PAHs), polychlorinated biphenyls (PCBs), phthalates and tobacco smoke related metabolites; 2) xenobiotic metabolites such as caffeine and acetaminophen; 3) endogenous metabolites (acyl-carnitines); and 4) unannotated peaks for PFAS. The database has a rich collection of 35 human studies, including the National Health and Nutrition Examination Survey (NHANES) and high-quality untargeted metabolomics datasets. CCDB is supported by a simple, interactive and user-friendly web-interface to retrieve and visualize the inter-chemical correlation data. The CCDB has the potential to be a key computational resource in metabolomics and exposomics facilitating the expansion of our understanding about biological and chemical relationships among metabolites and chemical exposures in the human body. The database is available at www.ccdb.idsl.me site."	CCDB: A database for exploring inter-chemical correlations in metabolomics and exposomics datasets	https://www.sciencedirect.com/science/article/pii/S0160412022001660	Environment international	Barupal, D. K., Mahajan, P., Fakouri-Baygi, S., Wright, R. O., Arora, M., & Teitelbaum, S. L. (2022). CCDB: A database for exploring inter-chemical correlations in metabolomics and exposomics datasets. Environment international, 164, 107240.	D. K. Barupal, P. Mahajan, S. Fakouri-Baygi, R. O. Wright, M. Arora, S. L. Teitelbaum	S L Teitelbaum	USA	https://github.com/idslme/CCDB/tree/main	R	2022	Icahn School of Medicine at Mount Sinai
IDSL.CSA	Annotation	Others		Poor chemical annotation of high-resolution mass spectrometry data limits applications of untargeted metabolomics datasets. Our new software, the Integrated Data Science Laboratory for Metabolomics and Exposomics—Composite Spectra Analysis (IDSL.CSA) R package, generates composite mass spectra libraries from MS1-only data, enabling the chemical annotation of high-resolution mass spectrometry coupled with liquid chromatography peaks regardless of the availability of MS2 fragmentation spectra. We demonstrate comparable annotation rates for commonly detected endogenous metabolites in human blood samples using IDSL.CSA libraries versus MS/MS libraries in validation tests. IDSL.CSA can create and search composite spectra libraries from any untargeted metabolomics dataset generated using high-resolution mass spectrometry coupled to liquid or gas chromatography instruments. The cross-applicability of these libraries across independent studies may provide access to new biological insights that may be missed due to the lack of MS2 fragmentation data. The IDSL.CSA package is available in the R-CRAN repository at https://cran.r-project.org/package=IDSL.CSA. Detailed documentation and tutorials are provided at https://github.com/idslme/IDSL.CSA.	IDSL.CSA: Composite Spectra Analysis for Chemical Annotation of Untargeted Metabolomics Datasets	https://pubs.acs.org/doi/10.1021/acs.analchem.3c00376	Analytical Chemistry	Baygi, S. F., Kumar, Y., & Barupal, D. K. (2023). IDSL. CSA: composite spectra analysis for chemical annotation of untargeted metabolomics datasets. Analytical chemistry, 95(25), 9480-9487.	S. F. Baygi, Y. Kumar, D. K. Barupal	D K Barupal	USA	https://cran.r-project.org/package=IDSL.CSA	R	2023	Icahn School of Medicine at Mount Sinai
IDSL.GOA	Pathway, Enrichment and Ontology Tools			Biological interpretation of metabolomic datasets often ends at a pathway analysis step to find the over-represented metabolic pathways in the list of statistically significant metabolites. However, definitions of biochemical pathways and metabolite coverage vary among different curated databases, leading to missed interpretations. For the lists of genes, transcripts and proteins, Gene Ontology (GO) terms over-presentation analysis has become a standardized approach for biological interpretation. But, GO analysis has not been achieved for metabolomic datasets. We present a new knowledgebase (KB) and the online tool, Gene Ontology Analysis by the Integrated Data Science Laboratory for Metabolomics and Exposomics (IDSL.GOA) to conduct GO over-representation analysis for a metabolite list. The IDSL.GOA KB covers 2393 metabolic GO terms and associated 3144 genes, 1,492 EC annotations, and 2621 metabolites. IDSL.GOA analysis of a case study of older versus young female brain cortex metabolome highlighted 82 GO terms being significantly overrepresented (FDR_<_0.05). We showed how IDSL.GOA identified key and relevant GO metabolic processes that were not yet covered in other pathway databases. Overall, we suggest that interpretation of metabolite lists should not be limited to only pathway maps and can also leverage GO terms as well. IDSL.GOA provides a useful tool for this purpose, allowing for a more comprehensive and accurate analysis of metabolite pathway data. IDSL.GOA tool can be accessed at https://goa.idsl.me/.	IDSL.GOA: gene ontology analysis for interpreting metabolomic datasets	https://www.nature.com/articles/s41598-024-51992-x	Scientific Reports	Mahajan, P., Fiehn, O., & Barupal, D. (2024). IDSL.GOA: Gene ontology analysis for interpreting metabolomic datasets. Scientific Reports, 14, 1299. https://doi.org/10.1038/s41598-024-51992-x	P. Mahajan, O. Fiehn, D. Barupal	D Barupal	USA	https://goa.idsl.me/	JavaScript, Webserver	2024	Icahn School of Medicine at Mount Sinai
IDSL_MINT	Annotation	Molecular library retrieval	Yes	The majority of tandem mass spectrometry (MS/MS) spectra in untargeted metabolomics and exposomics studies lack any annotation. Our deep learning framework, Integrated Data Science Laboratory for Metabolomics and Exposomics—Mass INTerpreter (IDSL_MINT) can translate MS/MS spectra into molecular fingerprint descriptors. IDSL_MINT allows users to leverage the power of the transformer model for mass spectrometry data, similar to the large language models. Models are trained on user-provided reference MS/MS libraries via any customizable molecular fingerprint descriptors. IDSL_MINT was benchmarked using the LipidMaps database and improved the annotation rate of a test study for MS/MS spectra that were not originally annotated using existing mass spectral libraries. IDSL_MINT may improve the overall annotation rates in untargeted metabolomics and exposomics studies. The IDSL_MINT framework and tutorials are available in the GitHub repository at https://github.com/idslme/IDSL_MINT.	IDSL_MINT: a deep learning framework to predict molecular fingerprints from mass spectra	https://link.springer.com/article/10.1186/s13321-024-00804-5	Journal of Cheminformatics	Baygi, S. F., & Barupal, D. K. (2024). IDSL_MINT: A deep learning framework to predict molecular fingerprints from mass spectra. Journal of Cheminformatics, 16(1), 8.	S. F. Baygi, D. K. Barupal	D K Barupal	USA	https://github.com/idslme/IDSL_MINT	Python	2024	Icahn School of Medicine at Mount Sinai
SMolESY	NMR			Small Molecule Enhancement SpectroscopY (SMolESY) was employed to develop a unique and fully automated computational solution for the assignment and integration of 1H nuclear magnetic resonance (NMR) signals from metabolites in challenging matrices containing macromolecules (herein blood products). Sensitive and reliable quantitation is provided by instant signal deconvolution and straightforward integration bolstered by spectral resolution enhancement and macromolecular signal suppression. The approach is highly efficient, requiring only standard one-dimensional 1H NMR spectra and avoiding the need for sample preprocessing, complex deconvolution, and spectral baseline fitting. The performance of the algorithm, developed using >4000 NMR serum and plasma spectra, was evaluated using an additional >8800 spectra, yielding an assignment accuracy greater than 99.5% for all 22 metabolites targeted. Further validation of its quantitation capabilities illustrated a reliable performance among challenging phenotypes. The simplicity and complete automation of the approach support the application of NMR-based metabolite panel measurements in clinical and population screening applications.	A Computationally Lightweight Algorithm for Deriving Reliable Metabolite Panel Measurements from 1D 1H NMR	https://pubs.acs.org/doi/10.1021/acs.analchem.1c00113	Analytical Chemistry	Takis, Panteleimon G., Jiménez, Beatriz, Al-Saffar, Nada M. S., Harvey, Nikita, Chekmeneva, Elena, Misra, Shivani, & Lewis, Matthew R. (2021). A Computationally Lightweight Algorithm for Deriving Reliable Metabolite Panel Measurements from 1D <sup>1</sup>H NMR. Analytical Chemistry, 93(12), 4995-5000. https://doi.org/10.1021/acs.analchem.1c00113	P. G. Takis, B. Jiménez, N. M. S. Al-Saffar, N. Harvey, E. Chekmeneva, S. Misra, M. R. Lewis	M R Lewis	United Kingdom	https://github.com/pantakis/SMolESY-select	Not specified	2021	Imperial College London
ORA	Pathway, Enrichment and Ontology Tools			"Over-representation analysis (ORA) is one of the commonest pathway analysis approaches used for the functional interpretation of metabolomics datasets. Despite the widespread use of ORA in metabolomics, the community lacks guidelines detailing its best-practice use. Many factors have a pronounced impact on the results, but to date their effects have received little systematic attention. Using five publicly available datasets, we demonstrated that changes in parameters such as the background set, differential metabolite selection methods, and pathway database used can result in profoundly different ORA results. The use of a non-assay-specific background set, for example, resulted in large numbers of false-positive pathways. Pathway database choice, evaluated using three of the most popular metabolic pathway databases (KEGG, Reactome, and BioCyc), led to vastly different results in both the number and function of significantly enriched pathways. Factors that are specific to metabolomics data, such as the reliability of compound identification and the chemical bias of different analytical platforms also impacted ORA results. Simulated metabolite misidentification rates as low as 4% resulted in both gain of false-positive pathways and loss of truly significant pathways across all datasets. Our results have several practical implications for ORA users, as well as those using alternative pathway analysis methods. We offer a set of recommendations for the use of ORA in metabolomics, alongside a set of minimal reporting guidelines, as a first step towards the standardisation of pathway analysis in metabolomics.

Author summaryMetabolomics is a rapidly growing field of study involving the profiling of small molecules within an organism. It allows researchers to understand the effects of biological status (such as health or disease) on cellular biochemistry, and has wide-ranging applications, from biomarker discovery and personalised medicine in healthcare to crop protection and food security in agriculture. Pathway analysis helps to understand which biological pathways, representing collections of molecules performing a particular function, are involved in response to a disease phenotype, or drug treatment, for example. Over-representation analysis (ORA) is perhaps the most common pathway analysis method used in the metabolomics community. However, ORA can give drastically different results depending on the input data and parameters used. In this work, we have established the effects of these factors on ORA results using computational simulations applied to five real-world datasets. Based on our results, we offer the research community a set of best-practice recommendations applicable not only to ORA but also to other pathway analysis methods to help ensure the reliability and reproducibility of results."	Pathway analysis in metabolomics: Recommendations for the use of over-representation analysis	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009105	PLoS computational biology	Wieder, C., Frainay, C., Poupin, N., Rodríguez-Mier, P., Vinson, F., Cooke, J., ... & Ebbels, T. (2021). Pathway analysis in metabolomics: Recommendations for the use of over-representation analysis. PLoS computational biology, 17(9), e1009105.	C. Wieder, C. Frainay, N. Poupin, P. Rodríguez-Mier, F. Vinson, J. Cooke, ..., T. Ebbels	T Ebbels	United Kingdom	https://github.com/cwieder/metabolomics-ORA	Python	2021	Imperial College London
peakPantheR	Large scale			"Untargeted liquid chromatography–mass spectrometry (LC–MS) profiling assays are capable of measuring thousands of chemical compounds in a single sample, but unreliable feature extraction and metabolite identification remain considerable barriers to their interpretation and usefulness. peakPantheR (Peak Picking and ANnoTation of High-resolution Experiments in R) is an R package for the targeted extraction and integration of annotated features from LC–MS profiling experiments. It takes advantage of chromatographic and spectral databases and prior information of sample matrix composition to generate annotated and interpretable metabolic phenotypic datasets and power workflows for real-time data quality assessment.
Availability and implementation

peakPantheR is available via Bioconductor (https://bioconductor.org/packages/peakPantheR/). Documentation and worked examples are available at https://phenomecentre.github.io/peakPantheR.github.io/ and https://github.com/phenomecentre/metabotyping-dementia-urine."	peakPantheR, an R package for large-scale targeted extraction and integration of annotated metabolic features in LC–MS profiling datasets	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btab433/6298587	Bioinformatics	Wolfer, A. M., DS Correia, G., Sands, C. J., Camuzeaux, S., Yuen, A. H., Chekmeneva, E., ... & Lewis, M. R. (2021). peakPantheR, an R package for large-scale targeted extraction and integration of annotated metabolic features in LC–MS profiling datasets. Bioinformatics, 37(24), 4886-4888.	A. M. Wolfer, G. D. S. Correia, C. J. Sands, S. Camuzeaux, A. H. Y. Yuen, E. Chekmeneva, Z. Takáts, J. T. M. Pearce, M. R. Lewis	M R Lewis	United Kingdom	https://bioconductor.org/packages/peakPantheR/	R	2021	Imperial College London
M2S	Specialized			Integration of multiple datasets can greatly enhance bioanalytical studies, for example, by increasing power to discover and validate biomarkers. In liquid chromatography–mass spectrometry (LC–MS) metabolomics, it is especially hard to combine untargeted datasets since the majority of metabolomic features are not annotated and thus cannot be matched by chemical identity. Typically, the information available for each feature is retention time (RT), mass-to-charge ratio (m/z), and feature intensity (FI). Pairs of features from the same metabolite in separate datasets can exhibit small but significant differences, making matching very challenging. Current methods to address this issue are too simple or rely on assumptions that cannot be met in all cases. We present a method to find feature correspondence between two similar LC–MS metabolomics experiments or batches using only the features’ RT, m/z, and FI. We demonstrate the method on both real and synthetic datasets, using six orthogonal validation strategies to gauge the matching quality. In our main example, 4953 features were uniquely matched, of which 585 (96.8%) of 604 manually annotated features were correct. In a second example, 2324 features could be uniquely matched, with 79 (90.8%) out of 87 annotated features correctly matched. Most of the missed annotated matches are between features that behave very differently from modeled inter-dataset shifts of RT, MZ, and FI. In a third example with simulated data with 4755 features per dataset, 99.6% of the matches were correct. Finally, the results of matching three other dataset pairs using our method are compared with a published alternative method, metabCombiner, showing the advantages of our approach. The method can be applied using M2S (Match 2 Sets), a free, open-source MATLAB toolbox, available at https://github.com/rjdossan/M2S.	Finding Correspondence between Metabolomic Features in Untargeted Liquid Chromatography–Mass Spectrometry Metabolomics Datasets	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03592	Analytical Chemistry	Climaco Pinto, R., Karaman, I., Lewis, M. R., Hallqvist, J., Kaluarachchi, M., Grac_a, G., ... & Ebbels, T. (2022). Finding correspondence between metabolomic features in untargeted liquid chromatography–mass spectrometry metabolomics datasets. Analytical Chemistry, 94(14), 5493-5503.	R. Climaco Pinto, I. Karaman, M. R. Lewis, J. Hallqvist, M. Kaluarachchi, G. Grac_a, ..., T. Ebbels	T Ebbels	United Kingdom	https://github.com/rjdossan/M2S	MATLAB	2022	Imperial College London
MetaboAnnotatoR	Annotation	Others		Untargeted metabolomics and lipidomics LC–MS experiments produce complex datasets, usually containing tens of thousands of features from thousands of metabolites whose annotation requires additional MS/MS experiments and expert knowledge. All-ion fragmentation (AIF) LC–MS/MS acquisition provides fragmentation data at no additional experimental time cost. However, analysis of such datasets requires reconstruction of parent–fragment relationships and annotation of the resulting pseudo-MS/MS spectra. Here, we propose a novel approach for automated annotation of isotopologues, adducts, and in-source fragments from AIF LC–MS datasets by combining correlation-based parent–fragment linking with molecular fragment matching. Our workflow focuses on a subset of features rather than trying to annotate the full dataset, saving time and simplifying the process. We demonstrate the workflow in three human serum datasets containing 599 features manually annotated by experts. Precision and recall values of 82–92% and 82–85%, respectively, were obtained for features found in the highest-rank scores (1–5). These results equal or outperform those obtained using MS-DIAL software, the current state of the art for AIF data annotation. Further validation for other biological matrices and different instrument types showed variable precision (60–89%) and recall (10–88%) particularly for datasets dominated by nonlipid metabolites. The workflow is freely available as an open-source R package, MetaboAnnotatoR, together with the fragment libraries from Github (https://github.com/gggraca/MetaboAnnotatoR).	Automated Annotation of Untargeted All-Ion Fragmentation LC–MS Metabolomics Data with MetaboAnnotatoR	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03032	Analytical Chemistry	Graca, G., Cai, Y., Lau, C. H. E., Vorkas, P. A., Lewis, M. R., Want, E. J., ... & Ebbels, T. M. (2022). Automated annotation of untargeted all-ion fragmentation LC–MS metabolomics data with MetaboAnnotatoR. Analytical Chemistry, 94(8), 3446-3455.	G. Graca, Y. Cai, C. H. E. Lau, P. A. Vorkas, M. R. Lewis, E. J. Want, ..., T. M. Ebbels	T M Ebbels	United Kingdom	https://github.com/gggraca/MetaboAnnotatoR	R, HTML	2022	Imperial College London
NMIRacle	IR/NMR/Annotation		Yes	Molecular structure elucidation from spectroscopic data is a long-standing challenge in Chemistry, traditionally requiring expert interpretation. We introduce NMIRacle, a two-stage generative framework that builds upon recent paradigms in AI-driven spectroscopy with minimal assumptions. In the first stage, NMIRacle learns to reconstruct molecular structures from count-aware fragment representations, capturing both fragment identities and their occurrences. In the second stage, a spectral encoder maps input spectra (IR, 1H-NMR, 13C-NMR) into a latent embedding used to condition the pre-trained generator, which is fine-tuned for direct spectra-to-molecule generation. This formulation bridges fragment-level chemical modeling with spectral evidence, yielding accurate molecular predictions. Empirical results demonstrate that NMIRacle outperforms existing baselines on molecular elucidation, while maintaining robust performance across increasing levels of molecular complexity.	NMIRacle: Multi-modal Generative Molecular Elucidation from IR and NMR Spectra	https://arxiv.org/abs/2512.19733	arXiv preprint	Ottomano, F., Li, Y., & Ganose, A. M. (2025). NMIRacle: Multi-modal generative molecular elucidation from IR and NMR spectra. arXiv. https://doi.org/10.48550/arXiv.2512.19733	F. Ottomano, Y. Li, A. M. Ganose	A M Ganose	United Kingdom	NA	NA	2025	Imperial College London
MetAssimulo 2.0	NMR		Yes	"Motivation
Metabolomics extensively utilizes nuclear magnetic resonance (NMR) spectroscopy due to its excellent reproducibility and high throughput. Both 1D and 2D NMR spectra provide crucial information for metabolite annotation and quantification, yet present complex overlapping patterns which may require sophisticated machine learning algorithms to decipher. Unfortunately, the limited availability of labeled spectra can hamper application of machine learning, especially deep learning algorithms which require large amounts of labeled data. In this context, simulation of spectral data becomes a tractable solution for algorithm development.
Results

Here, we introduce MetAssimulo 2.0, a comprehensive upgrade of the MetAssimulo 1.b metabolomic 1H NMR simulation tool, reimplemented as a Python-based web application. Where MetAssimulo 1.0 only simulated 1D 1H spectra of human urine, MetAssimulo 2.0 expands functionality to urine, blood, and cerebral spinal fluid, enhancing the realism of blood spectra by incorporating a broad protein background. This enhancement enables a closer approximation to real blood spectra, achieving a Pearson correlation of approximately 0.82. Moreover, this tool now includes simulation capabilities for 2D J-resolved (J-Res) and Correlation Spectroscopy spectra, significantly broadening its utility in complex mixture analysis. MetAssimulo 2.0 simulates both single, and groups, of spectra with both discrete (case–control, e.g. heart transplant versus healthy) and continuous (e.g. body mass index) outcomes and includes inter-metabolite correlations. It thus supports a range of experimental designs and demonstrating associations between metabolite profiles and biomedical responses.

By enhancing NMR spectral simulations, MetAssimulo 2.0 is well positioned to support and enhance research at the intersection of deep learning and metabolomics.
Availability and implementation

The code and the detailed instruction/tutorial for MetAssimulo 2.0 is available at https://github.com/yanyan5420/MetAssimulo_2.git. The relevant NMR spectra for metabolites are deposited in MetaboLights with accession number MTBLS12081."	MetAssimulo 2.0: a web app for simulating realistic 1D and 2D metabolomic 1H NMR spectra	https://academic.oup.com/bioinformatics/article/41/3/btaf045/7979240	Bioinformatics	Yan, Y., Jiménez, B., Judge, M. T., Athersuch, T., De Iorio, M., & Ebbels, T. M. (2025). MetAssimulo 2.0: a web app for simulating realistic 1D and 2D metabolomic 1H NMR spectra. Bioinformatics, 41(3), btaf045.	Y. Yan, B. Jiménez, M. T. Judge, T. Athersuch, M. De Iorio, T. M. Ebbels	T M Ebbels	United Kingdom	https://github.com/yanyan5420/MetAssimulo_2	Python, CSS	2025	Imperial College London
Kiphynet	Metabolic networks			"Introduction
Human metabolism is sustained by functional networks that operate at diverse scales. Capturing local and global dynamics in the human body by hierarchically bridging multi-scale functional networks is a major challenge in physiological modeling.
Objectives
To develop an interactive, user-friendly web application that facilitates the simulation and visualization of advection-dispersion transport in three-dimensional (3D) microvascular networks, biochemical exchange, and metabolic reactions in the tissue layer surrounding the vasculature.
Methods
To help modelers combine and simulate biochemical processes occurring at multiple scales, KiPhyNet deploys our discrete graph-based modeling framework that bridges functional networks existing at diverse scales. KiPhyNet is implemented in Python based on Apache web server using MATLAB as the simulator engine. KiPhyNet provides the functionality to assimilate multi-omics data from clinical and experimental studies as well as vascular data from imaging studies to investigate the role of structural changes in vascular topology on the functional response of the tissue.
Results
With the network topology, its biophysical attributes, values of initial and boundary conditions, parameterized kinetic constants, biochemical species-specific transport properties such as diffusivity as inputs, a user can use our application to simulate and view the simulation results. The results of steady-state velocity and pressure fields and dynamic concentration fields can be interactively examined.
Conclusion
KiPhyNet provides barrier-free access to perform time-course simulation experiments by building multi-scale models of microvascular networks in physiology, using a discrete modeling framework. KiPhyNet is freely accessible at http://pallab.cds.iisc.ac.in/kiphynet/ and the documentation is available at https://deepamahm.github.io/kiphynet_docs/."	Kiphynet: an online network simulation tool connecting cellular kinetics and physiological transport	https://link.springer.com/article/10.1007/s11306-024-02151-w	Metabolomics	Deepa Maheshvare, M., Charaborty, R., Haldar, S., Raha, S., & Pal, D. (2024). Kiphynet: an online network simulation tool connecting cellular kinetics and physiological transport. Metabolomics, 20(5), 94.	M. Deepa Maheshvare, R. Charaborty, S. Haldar, S. Raha, D. Pal	D Pal	India	http://pallab.cds.iisc.ac.in/kiphynet//	Python, MATLAB	2024	Indian Institute of Science Bangalore
